Brand,Model,Company,Price in India,id,1 stars,2 stars,4 stars,3 stars,5 stars,link,total_ratings,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Base Clock Speed,Graphics Processor.1,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),Dedicated Graphics.1,HDMI Port,Ethernet,Battery_Life,Dedicated Graphic Memory Type,Expandable RAM up to (GB),other_info,reviewDescription
Acer,Nitro 5,acer,49757.0,1188,0,0,100,0,0,https://gadgets.ndtv.com/acer-nitro-5-8213,2,8GB,15.60-inch,No,Black,Windows 10 Home,256GB,5,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.7,390.00 x 266.00 x 26.75,4.0,4.0,Nitro,Yes,No,2.5 GHz,Nvidia GeForce GTX 1050,,Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",6MB,Yes,Stereo Speakers,,Yes,,,Gigabit Ethernet,6,GDDR5,32GB,"{'RAM Slots': '2', 'VGA Port': 'No'}","Ossum earphone , but have to do quality of beefiness improve"
Asus,ROG Strix GL503VS-EI083T,asus,206400.0,1189,0,0,0,0,100,https://gadgets.ndtv.com/asus-rog-strix-gl503vs-ei083t-6482,,16GB,15.60-inch,No,Black,Windows 10,No,GL503VS-EI083T,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1070,,No,1920x1080 pixels,802.11 ac,2.6,384.00 x 262.00 x 23.00,4.1,5.0,ROG Strix,Yes,No,2.8 GHz,Nvidia GeForce GTX 1070,"Asus Rog Strix GL503VS-EI083T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,4,Touchpad,4 x USB 3.0,6MB,Yes,,,Yes,,,10/100/1000 Base T,6,GDDR5,32GB,{'RAM Slots': '1'},Good quality
Asus,S510UN-BQ132T,asus,82421.0,1190,0,0,0,0,0,https://gadgets.ndtv.com/asus-s510un-bq132t-6816,,8GB,15.60-inch,No,Gold,Windows 10,No,S510UN-BQ132T,Intel Core i7 8th Gen 8550U,Nvidia GeForce MX150,,No,1920x1080 pixels,802.11 ac,1.7,361.00 x 243.00 x 17.90,4.1,4.0,,Yes,No,1.8 GHz,Nvidia GeForce MX150,"Asus S510UN-BQ132T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Gold, 15.6 inch)",Yes,3,Touchpad,"2 x USB 2.0, 1 x USB 3.0",8MB,Yes,Yes,SDXC Card Reader,,,,,8,GDDR5,16GB,,"This is a good product, 1year warranty on the side makes it very reasonable."
Acer,Aspire E E5-573-31G2,acer,49757.0,1191,0,0,0,0,0,https://gadgets.ndtv.com/acer-aspire-e-e5-573-31g2-5935#gallery,,4GB,15.60-inch,No,Charcoal Grey,Linux,500GB,E5-573-31G2,Intel Core i3 4th Gen 4005U,Intel HD Graphics 4400,No,Yes,1366x768 pixels,802.11 ac,2.4,249.00 x 381.60 x 256.00,,3.0,Aspire E,Yes,,1.7 GHz,Intel HD Graphics 4400,,Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",,,Stereo Speakers,SD Card Reader,Yes,No,Standard,Gigabit Ethernet,6,DDR3L,,{'RJ11': 'Yes'},Good
HP,15-BS580TX,hp,40892.0,1192,12,4,31,6,47,https://gadgets.ndtv.com/hp-15-bs580tx-5961,51,8GB,15.60-inch,No,Sparkling Black,Windows 10 Home,No,15-BS580TX,Intel Core i3 6th Gen 6006U,AMD Radeon 520 Graphics,,No,1366x768 pixels,802.11 b/g/n,2.1,379.90 x 253.70 x 23.80,4.0,3.0,,Yes,No,2 GHz,AMD Radeon 520 Graphics,"HP 15-BS580TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i3, Sparkling Black)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,,,Yes,,,Gigabit Ethernet,6,DDR3,16GB,"{'RAM Slots': '2', 'VGA Port': 'No'}",Excellent quality
Asus,VivoBook Pro 15 N580GD-DB74,asus,136349.0,1193,0,0,0,0,0,https://gadgets.ndtv.com/asus-vivobook-pro-15-n580gd-db74-8264,,4GB,15.60-inch,8GB,Champagne,Windows 10 Home,No,Pro 15 N580GD-DB74,Intel Core i7 7th Gen 8750H,Nvidia GeForce GTX 1050,,No,3840x2160 pixels,802.11 g/n,1.9,50.80 x 257.00 x 38.10,4.2,4.0,VivoBook,Yes,No,4.1 GHz,Nvidia GeForce GTX 1050,"Asus Vivobook Pro 15 N580GD-DB74 Laptop (Windows 10 Home, 4GB RAM, 8GB HDD, Intel Core i7, Champagne, 15.6 inch)",Yes,,Touchpad,"2 x USB 2.0, 1 x USB 3.0, 1 x USB 3.0 (Type A), 1 x USB 3.0 (Type C)",,Yes,Yes,,Yes,,,10/100/1000 Base T,6,GDDR5,32GB,"{'VGA Port': 'Yes', 'RJ11': 'Yes'}",One button is not working Repair it fast
Acer,Swift 7 SF714-52T,acer,173000.0,1194,0,0,0,0,0,https://gadgets.ndtv.com/acer-acer-swift-7-sf714-52t-price-in-india-91447,,8GB,14.00-inch,512GB,"Black, White",Windows 10,,,Intel Core i7 8th Gen Core i7-8500Y,Intel Integrated HD Graphics 615,No,Yes,1920x1080 pixels,802.11 ac,0.98,190.50 x 317.50 x 99.00,5.0,2.0,Swift,Yes,Yes,1.5 GHz,Intel Integrated HD Graphics 615,"Acer Swift 7 SF714-52T Laptop (Windows 10 Pro, 8GB RAM, 512GB SSD, Intel Core i7, 8th Gen, Starfield Black, 14.0 inch)",Yes,3,Trackpad,2 x Thunderbolt 3 (Type C),,,2 Speakers,,,No,,,6,,,{'VGA Port': 'Yes'},"Delivery was good, Nice product"
Acer,Aspire SW1-11,acer,14990.0,1195,13,1,21,11,54,https://gadgets.ndtv.com/acer-aspire-sw1-11-5896#gallery,97,2GB,10.10-inch,No,Black,Windows 10 Home,500GB,SW1-11,Intel Atom Quad Core Z8350,Intel Integrated HD Graphics,No,No,1280x800 pixels,802.11 b/g/n,1.26,259.00 x 192.60 x 20.65,4.0,2.0,Aspire,Yes,Yes,1.44 GHz,Intel Integrated HD Graphics,"Acer Aspire Switch One SW1-11 Laptop (Windows 10, 2GB RAM, 500GB HDD, Intel Atom, Black, 10.1 inch)",Yes,2,Touchpad,1 x USB 2.0,2MB,Yes,,1 Micro SD Card Reader,,No,Micro,,9,,,,Very nice
Acer,Aspire A49120,acer,49757.0,1196,0,0,0,0,0,https://gadgets.ndtv.com/acer-aspire-a49120-8330,,8GB,15.60-inch,No,Black,Windows 10,1TB,A49120,AMD APU Dual Core A4 9120,AMD Radeon R5,,No,1366x768 pixels,802.11 a/b/g/n/ac,2.1,381.60 x 259.00 x 21.00,4.1,3.0,Aspire,Yes,No,2.2 GHz,AMD Radeon R5,,Yes,2,Touchpad,"2 x USB 2.0, 1 x USB 3.0",1MB,Yes,Stereo Speakers,SD Card Reader,Yes,,,Gigabit Ethernet,5,,12GB,"{'RAM Slots': '2', 'Web Camera': '0.3-megapixel', 'VGA Port': 'Yes'}",OK
Acer,One 10 S1003,acer,15990.0,1197,16,6,21,7,50,https://gadgets.ndtv.com/acer-one-10-s1003-5853#gallery,340,2GB,10.10-inch,32GB,Black,Windows 10 Home,No,S1003,Intel Atom Quad Core Z8300,Intel Integrated HD Graphics,No,No,1280x800 pixels,802.11 b/g/n,1.27,262.00 x 173.50 x 20.70,4.0,2.0,One 10,Yes,Yes,1.44 GHz,Intel Integrated HD Graphics,"Acer One 10 S1003 Laptop (Windows 10, 2GB RAM, 32GB HDD, Intel Atom, Black, 10.1 inch)",Yes,2,Touchpad,2 x USB 2.0,2MB,Yes,,SD Card Reader,,No,,,8,,,"{'Web Camera': 'Yes', 'VGA Port': 'Yes', 'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '33', 'Lock Slot': 'Kensington Lock Port', 'Battery Capacity (mAh)': '3300'}",Very bad... Very slow. Dont buy if you work fast. It will hang.
Lenovo,Yoga 530,lenovo,82990.0,1198,0,0,100,0,0,https://gadgets.ndtv.com/lenovo-yoga-530-7875,,8GB,14.00-inch,256GB,Mineral Grey,Windows 10,No,530,Intel Core i7 8th Gen 8250U,Nvidia,,No,1920x1080 pixels,,1.67,328.00 x 229.00 x 17.60,4.1,3.0,Yoga,Yes,Yes,1.6 GHz,Nvidia,"Lenovo Yoga 530 Laptop (Windows 10, 8GB RAM, 256GB HDD, Intel Core i7, Mineral Grey, 14.0 Inch)",Yes,4,Touchpad,2 x USB 3.0,6MB,Yes,2 Speakers,,,,,,10,GDDR5,16GB,"{'RAM Slots': '2', 'Web Camera': '1-megapixel', 'VGA Port': 'Yes', 'Headphone and Mic Combo Jack': 'Yes', 'Optical Disk Drive': 'DVD Writer', 'Burst Clock Speed': '2 GHz', 'Instruction Set': '64'}",Sound system are so bad 😔
Asus,A555LA-XX2561T,asus,49757.0,1199,0,0,0,0,0,https://gadgets.ndtv.com/asus-a555la-xx2561t-6983,,4GB,15.60-inch,No,Black,Windows 10,1TB,A555LA-XX2561T,Intel Core i3 4005U,Intel Integrated HD Graphics 4400,No,No,1366x768 pixels,802.11 b/g/n,2.3,382.00 x 256.00 x 25.80,4.0,3.0,,Yes,No,1.7 GHz,Intel Integrated HD Graphics 4400,,Yes,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,Yes,SD Card Reader,Yes,No,Standard,10/100/1000 Base T,6,,,,Not bad
Dell,Inspiron 11,dell,33600.0,1200,50,50,0,0,0,https://gadgets.ndtv.com/dell-inspiron-11-6342,2,8GB,11.60-inch,No,Black,Windows 10,32GB,11,AMD APU Quad Core A6 4th Gen N3530,Intel Integrated HD Graphics,No,No,,,1.39,300.00 x 201.50 x 21.20,4.0,3.0,Inspiron,Yes,Yes,2.16 GHz,Intel Integrated HD Graphics,"Dell Inspiron 11 Laptop (Windows 8.1, 4GB RAM, 500GB HDD, Intel Pentium, Silver, 11.6 inch)",Yes,3,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,2 Speakers,,Yes,No,Standard,10/100,6,,8GB,"{'Headphone and Mic Combo Jack': 'Yes', 'Optical Disk Drive': 'Super Multi DVD', 'Burst Clock Speed': '2.8 GHz', 'Read/Write Speed': '8X'}",Good laptop in this price
HP,14-BU012TU,hp,30757.0,1201,11,2,27,12,48,https://gadgets.ndtv.com/hp-14-bu012tu-6094,95,4GB,14.00-inch,No,Smoke Grey,DOS,No,14-BU012TU,Intel Core i3 6th Gen 6006U,Intel Integrated HD Graphics 520,No,No,1366x768 pixels,802.11 b/g/n,1.76,340.10 x 240.00 x 23.60,4.2,3.0,,Yes,No,2 GHz,Intel Integrated HD Graphics 520,"HP 14-BU012TU Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Smoke Grey, 14 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,,,Yes,No,,10/100/1000 Base T,6,,16GB,"{'RAM Slots': '1', 'Web Camera': '1.3-megapixel'}",very nice product
Asus,S510UN-BQ122T,asus,62140.0,1202,100,0,0,0,0,https://gadgets.ndtv.com/asus-s510un-bq122t-6999,,8GB,15.60-inch,No,Gold,Windows 10,1TB,S510UN-BQ122T,Intel Core i5 8250U,Nvidia GeForce MX150,,No,1920x1080 pixels,802.11 ac,1.7,361.00 x 243.00 x 17.90,4.1,4.0,,Yes,No,1.6 GHz,Nvidia GeForce MX150,"Asus S510UN-BQ122T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",Yes,3,Touchpad,"2 x USB 2.0, 1 x USB 3.0",6MB,Yes,Yes,SDXC Card Reader,,,,,8,GDDR5,24GB,,simply superb
HP,17-Y002CY,hp,49757.0,1203,0,0,0,0,0,https://gadgets.ndtv.com/hp-17-y002cy-6967,,12GB,17.30-inch,No,Blue,,2TB,17-Y002CY,AMD APU Quad Core A12 9700P,AMD Radeon R7 M440,,No,1600x900 pixels,802.11 ac,2.69,279.00 x 41.70 x 24.90,4.0,1.0,,Yes,No,2.5 GHz,AMD Radeon R7 M440,,Yes,4,Touchpad,"1 x USB 2.0, 1 x USB 3.0",2MB,Yes,2 Speakers,SD Card Reader,Yes,,Standard,10/100 Base T,6,,,,thank u flipkart for amazing deal in low budget...again thank u
Honor,Hunter V700,honor,49757.0,1204,0,0,0,0,0,https://gadgets.ndtv.com/honor-hunter-v700-price-in-india-97177,,16GB,16.10-inch,512GB,Magic Night Black,Windows 10 Home,No,,Intel Core i5 10th Gen i5-10300H,Nvidia GeForce GTX 1660 Ti,Yes,,1920x1080 pixels,802.11 ac/Yes,2.45,253.00 x 369.70 x 19.90,5.1,4.0,Hunter,Yes,No,,Nvidia GeForce GTX 1660 Ti,,Yes,,Touchpad,1 x USB 2.0,,,2 Speakers,,Yes,Yes,Yes,Yes,6,,,{'VGA Port': 'Yes'},very nice
Acer,Swift SF314-52,acer,27900.0,1205,32,0,26,11,32,https://gadgets.ndtv.com/acer-swift-sf314-52-6051,19,4GB,14.00-inch,256GB,Silver,Linux,No,SF314-52,Intel Core i3 8th Gen 8250U,Intel Integrated UHD Graphics 620,No,No,1920x1080 pixels,802.11 a/b/g/n/ac,1.6,338.00 x 234.00 x 17.95,4.0,3.0,Swift,Yes,No,1.6 GHz,Intel Integrated UHD Graphics 620,"Acer Swift SF314-52 Laptop (Linux, 4GB RAM, 128GB HDD, Intel Core i3, Silver, 14 inch)",Yes,4,Touchpad,"1 x USB 2.0, 1 x USB 3.0",6MB,Yes,Stereo Speakers,SD Card Reader,,No,,,10,,,"{'Battery Capacity (WHR)': '90', 'Backlit Keyboard': 'Yes', 'Launched': '2nd April 2020', 'Model Name': 'Asus ROG Zephyrus Duo 15', 'Refresh Rate': '60Hz', 'USB 3.2 Gen 1 (Type A)': '1', 'Screen Size (inches)': '14.10'}",Nice and good work
Asus,FX503VD-DM108T,asus,60000.0,1206,0,0,0,0,0,https://gadgets.ndtv.com/asus-fx503vd-dm108t-6151#gallery,,8GB,15.60-inch,128GB,Black,Windows 10 Home,No,FX503VD-DM108T,Intel Core i5 7th Gen 7300HQ,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 ac,2.5,384.00 x 262.00 x 25.00,4.1,3.0,,Yes,No,2.5 GHz,Nvidia GeForce GTX 1050,"Asus FX503VD-DM108T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Yes,4,Touchpad,"3 x USB 3.0, 3 x USB 3.0 (Type A)",6MB,Yes,,SD Card Reader,Yes,,,10/100/1000 Base T,6,GDDR5,32GB,,Awesome 👍
Asus,F556UA-EB71,asus,49757.0,1207,0,0,0,0,0,https://gadgets.ndtv.com/asus-f556ua-eb71-5811,,8GB,15.60-inch,No,Blue,Windows 10,1TB,F556UA-EB71,Intel Core i7 6th Gen 6500U,Intel HD Graphics 520,No,No,1920x1080 pixels,802.11 b/g/n/ac,2.29,25.40 x 150.00 x 10.10,4.0,,,,,2.5 GHz,Intel HD Graphics 520,,Yes,2,Touchpad,,4MB,,Stereo Speakers,3 in 1 card Reader,Yes,No,Standard,Gigabit Ethernet,6,,,"{'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '38'}",Superb
Asus,A541UJ-DM067,asus,35800.0,1208,50,0,0,0,50,https://gadgets.ndtv.com/asus-a541uj-dm067-7411#gallery,2,4GB,15.60-inch,No,Black,DOS,No,A541UJ-DM067,Intel Core i3 6th Gen 6006U,Nvidia GeForce 920M,,No,1920x1080 pixels,802.11 b/g/n,2.0,381.00 x 252.00 x 27.60,4.0,,,Yes,No,,Nvidia GeForce 920M,"Asus A541UJ-DM067 Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Yes,,Touchpad,,3MB,,2 Speakers,SDXC Card Reader,Yes,,,10/100,4,DDR3,12GB,"{'RAM Slots': '2', 'VGA Port': 'No'}",Nice
HP,ProBook 430-G3,hp,49757.0,1209,0,0,0,0,0,https://gadgets.ndtv.com/hp-probook-430-g3-6851,,4GB,13.30-inch,No,Silver,Windows 7,500GB,430-G3,Intel Core i3 6th Gen 6200U,Intel HD Graphics 520,No,No,1366x768 pixels,802.11 b/g/n,2.0,233.50 x 32.60 x 50.55,4.0,2.0,ProBook,Yes,No,2.3 GHz,Intel HD Graphics 520,,Yes,4,Touchpad,"2 x USB 2.0, 2 x USB 3.0",3MB,Yes,Stereo Speakers,Digital Media Reader,,No,Standard,10/100/1000 Base T,4,,,"{'Web Camera': 'Yes', 'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '71', 'Backlit Keyboard': 'Yes', 'Model Name': '15'}",Good
Acer,Predator Helios 300 G3-572,acer,49757.0,1210,0,0,0,0,0,https://gadgets.ndtv.com/acer-predator-helios-300-g3-572-6481,,8GB,15.60-inch,No,"Red, Black",Windows 10,No,Helios 300 G3-572,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1050 Ti,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.7,390.00 x 266.00 x 26.75,4.0,4.0,Predator,Yes,No,2.8 GHz,Nvidia GeForce GTX 1050 Ti,,Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",6MB,Yes,Yes,,Yes,,,Gigabit Ethernet,6,GDDR5,32GB,"{'VGA Port': 'Yes', 'Optical Disk Drive': 'DVD Writer', 'Burst Clock Speed': '3.1 GHz'}","It's really amazing one , nice sound quality ."
Asus,ROG Strix GL503VM-ED111T,asus,152950.0,1211,0,0,0,0,0,https://gadgets.ndtv.com/asus-rog-strix-gl503vm-ed111t-6196#gallery,,16GB,15.50-inch,256GB,Black,Windows 10 Home,No,GL503VM-ED111T,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1060,,No,1920x1080 pixels,802.11 ac,2.6,384.00 x 262.00 x 23.00,4.1,5.0,ROG Strix,Yes,No,2.8 GHz,Nvidia GeForce GTX 1060,"Asus Rog GL503VM-ED111T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Gun Metal Gray, 15.5 inch)",Yes,4,Touchpad,4 x USB 3.0,6MB,Yes,,,Yes,,,10/100/1000 Base T,6,GDDR5,32GB,"{'Battery Capacity (WHR)': '45', 'Burst Clock Speed': '3.1 GHz'}","camera quality is not so good, but for s pen lover can afford this in low price, battery life is poor."
Dell,Inspiron 11 3000/3137C2500iS,dell,27990.0,1212,31,8,23,19,19,https://gadgets.ndtv.com/dell-inspiron-11-3000-3137c2500is-4747,26,2GB,11.49-inch,No,Silver,Windows 8 Professional,500GB,3000/3137C2500iS,Intel Celeron Dual Core 2nd Gen 2955U,Intel Integrated Graphics,No,,1366x768 pixels,802.11 b/g/n,1.43,300.00 x 201.50 x 21.20,4.0,,Inspiron 11,,Yes,1.4 GHz,Intel Integrated Graphics,"Dell 11 3000 3137C2500IS Laptop (Windows 8, 2GB RAM, 500GB HDD, Intel Celeron, Silver, 15.6 inch)",,3,Touchpad,,2MB,,Yes,Yes,Yes,No,,10/100/1000 Base T,6,,2GB,{'RAM Slots': '2'},Good performance
Asus,Transformer Book Flip TP301UJ-C4011T,asus,49757.0,1213,0,0,0,0,0,https://gadgets.ndtv.com/asus-transformer-book-flip-tp301uj-c4011t-5155,,8GB,13.30-inch,No,Black With Straight Hair Line Texture,Windows 10 Home,1TB,TP301UJ-C4011T,Intel Core i5 6th Gen 6200U,Nvidia GeForce 920M,Yes,No,1920x1080 pixels,802.11 ac,1.6,322.00 x 227.00 x 19.90,4.0,4.0,Transformer Book Flip,Yes,Yes,2.8 GHz,Nvidia GeForce 920M,,,,Touchpad,"1 x USB 2.0, 2 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",3MB,Yes,,,,Yes,Standard,10/100/1000 Base T,4,GDDR3,,"{'RAM Slots': '1', 'VGA Port': 'Yes'}",Nice product
HP,15Q-BU020TU,hp,30757.0,1214,8,3,22,12,55,https://gadgets.ndtv.com/hp-15q-bu020tu-6097,415,4GB,15.60-inch,No,Smoke Grey,DOS,No,15Q-BU020TU,Intel Core i3 6th Gen 6006U,Intel Integrated HD Graphics 520,No,No,1366x768 pixels,802.11 b/g/n,1.95,380.00 x 253.70 x 23.80,4.0,3.0,,Yes,No,2 GHz,Intel Integrated HD Graphics 520,"HP 15Q-BU020TU Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Smoke Grey, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,,,Yes,No,,10/100/1000 Base T,6,,16GB,"{'Web Camera': 'Yes', 'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '44'}",Good phone.
HP,EliteBook 9480M-K1C49PA,hp,49757.0,1215,0,0,0,0,0,https://gadgets.ndtv.com/hp-elitebook-9480m-k1c49pa-6938,,4GB,14.00-inch,No,Silver,Windows 8.1,500GB,9480M-K1C49PA,Intel Core i5 4th Gen 4210U,Intel HD Graphics 4400,No,No,1366x768 pixels,802.11 a/b/g/n,,,4.0,2.0,EliteBook,,No,1.7 GHz,Intel HD Graphics 4400,,Yes,4,Touchpad,2 x USB 3.0,3MB,,,Yes,Yes,No,Standard,Yes,6,,32GB,{'VGA Port': 'Yes'},Camera is excellent.5/5Battery is fine 4/5.Display 5/5.S pen is wonderful.Only issue is slow processor.and during video recording temperature increases and camera shut down.it can't stand 30 min video recording..Exynos is not a good processor I think.
Asus,VivoBook S410UA-EB367T,asus,77990.0,1216,13,0,27,7,53,https://gadgets.ndtv.com/asus-vivobook-s410ua-eb367t-6299#gallery,15,8GB,15.60-inch,256GB,Metal Grey,Windows 10 Home,No,S410UA-EB367T,Intel Core i7 8th Gen 8550U,Intel Integrated UHD Graphics 620,No,No,1920x1080 pixels,802.11 ac,1.43,326.00 x 226.00 x 18.80,4.1,4.0,VivoBook,Yes,No,1.8 GHz,Intel Integrated UHD Graphics 620,"Asus Vivobook S410UA-EB367T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Metal Grey, 15.6 inch)",Yes,3,Touchpad,"2 x USB 2.0, 1 x USB 3.0",8MB,Yes,Yes,,,No,,,6,,16GB,"{'VGA Port': 'Yes', 'Headphone and Mic Combo Jack': 'Yes', 'RJ11': 'Yes'}",Nice Product
Acer,Predator GX21-71,acer,699999.0,1217,0,0,0,0,0,https://gadgets.ndtv.com/acer-predator-gx21-71-6815,,64GB,,No,Black,Windows 10 Home,No,GX21-71,Intel Core i7 7th Gen 7820HK,Nvidia GeForce GTX 1080 SLI,,No,2560x1080 pixels,802.11 a/b/g/n/ac,8.5,568.00 x 314.50 x 83.25,4.1,5.0,Predator,Yes,No,2.9 GHz,Nvidia GeForce GTX 1080 SLI,"Acer Predator GX21-71 Laptop (Windows 10, 64GB RAM, 1000GB HDD, Intel Core i7, Red & Black)",Yes,8,Touchpad,"2 x USB 2.0, 2 x USB 3.0",8MB,Yes,Stereo Speakers,SD Card Reader,Yes,,,Gigabit Ethernet,6,GDDR5,,"{'RAM Slots': '1', 'Web Camera': 'Yes', 'VGA Port': 'Yes', 'Headphone and Mic Combo Jack': 'Yes'}",Small and very Powerful refrigerator
MSI,7REX-2068IN,msi,85990.0,1218,0,8,38,8,46,https://gadgets.ndtv.com/msi-7rex-2068in-7000#gallery,13,8GB,15.60-inch,No,Black,Windows 10,No,7REX-2068IN,Intel Core i7 7th Gen,Nvidia,,No,1920x1080 pixels,802.11 n/ac,2.2,,4.2,4.0,,Yes,No,,Nvidia,"MSI 7REX-2068IN Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,6,Touchpad,"1 x USB 2.0, 1 x USB 3.0, 2 x USB 3.0 (Type A), 1 x USB 3.0 (Type C)",6MB,Yes,4 Speakers,,Yes,,,Gigabit Ethernet,3,GDDR5,32GB,,Good
Dell,AW17R3-4175SLV,dell,188445.0,1219,27,2,9,5,57,https://gadgets.ndtv.com/dell-aw17r3-4175slv-6011,44,16GB,17.30-inch,No,Black,Windows 10 Home,256GB,AW17R3-4175SLV,Intel Core i7 6th Gen 6700HQ,Nvidia GeForce GTX 970M,,Yes,1920x1080 pixels,802.11 a/b/g/n/ac,2.08,292.00 x 432.00 x 36.00,4.1,2.0,,Yes,No,2.6 GHz,Nvidia GeForce GTX 970M,"Dell Alienware AW17R3-4175SLV Laptop (16GB RAM, 256GB HDD, Intel Core i7, Black, 17.3 inch)",Yes,8,Touchpad,2 x USB 3.0,,,Stereo Speakers,SD Card Reader,,,,,6,,32GB,{'Optical Disk Drive': 'CD/DVD Reader'},Back camera is not good
Acer,Swift 3 SF315-51,acer,44990.0,1220,50,0,0,17,33,https://gadgets.ndtv.com/acer-swift-3-sf315-51-8241#gallery,6,8GB,15.60-inch,No,Blue,Linux,1TB,3 SF315-51,Intel Core i5 8th Gen 8250U,Nvidia GeForce MX150,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.1,370.50 x 255.00 x 18.90,4.0,4.0,Swift,Yes,No,1.6 GHz,Nvidia GeForce MX150,"Acer Swift 3 SF315-51 Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i5, Blue, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",6MB,Yes,Stereo Speakers,SD Card Reader,,,,,10,GDDR5,,"{'RAM Slots': '2', 'VGA Port': 'Yes', 'Battery Capacity (WHR)': '38', 'Burst Clock Speed': '2.8 GHz'}","after one month of using, I must say this is a worth buying phone. Previously I was using Samsung J series & M series phone. But this is a flagship phone from Samsung costs little above the midrange & performance wise very hard to find any fault in it. Loving it"
Asus,ROG GL702ZC-GC216T,asus,134990.0,1221,0,0,0,0,100,https://gadgets.ndtv.com/asus-rog-gl702zc-gc216t-6229,2,16GB,17.30-inch,256GB,Black,Windows 10 Home,No,GL702ZC-GC216T,Intel APU Quad Core,AMD Radeon RX 580,,No,1920x1080 pixels,802.11 ac,3.2,415.00 x 280.00 x 34.00,4.2,4.0,ROG,Yes,No,3 GHz,AMD Radeon RX 580,"Asus Rog GL702ZC-GC216T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Quad Core, Black, 17.3 inch)",Yes,4,Touchpad,3 x USB 3.0,,Yes,,,Yes,,,10/100/1000 Base T,6,GDDR5,32GB,"{'VGA Port': 'Yes', 'Optical Disk Drive': 'DVD Writer'}",very very Gud
Asus,VivoBook S510UN-BQ139T,asus,78000.0,1222,0,0,0,0,0,https://gadgets.ndtv.com/asus-vivobook-s510un-bq139t-6978,,8GB,15.60-inch,No,Gold,Windows 10,No,S510UN-BQ139T,Intel Core i7 8th Gen 8550U,Nvidia GeForce MX150,,No,1920x1080 pixels,802.11 b/n/ac,1.7,361.00 x 243.00 x 45.47,4.1,4.0,VivoBook,Yes,No,1.8 GHz,Nvidia GeForce MX150,"Asus S510UN-BQ139T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Gold, 15.6 inch)",Yes,,Touchpad,"2 x USB 2.0, 1 x USB 3.0",8MB,Yes,,,,,,10/100/1000 Base T,8,GDDR5,32GB,"{'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '64'}",very fast delivery thank you flip Cart
